G,zS0,zS1,zS2,zS3,zS4,zS5,zS6,zS7,zS8,zS9,zS10,zS11
18450,-0.0238289,,,,,,,,,,,
18500,0.0609563,,,,,,,,,,,
18550,0.0170367,,,,,,,,,,,
18600,-0.00664218,,,,,,,,,,,
18650,0.0494744,,,,,,,,,,,
18700,0.0244934,,,,,,,,,,,
18750,0.0224256,,,,,,,,,,,
18800,-0.0803986,,,,,,,,,,,
18850,-0.145257,,,,,,,,,,,
18900,0.0385524,,,,,,,,,,,
18950,0.0421774,,,,,,,,,,,
19000,-0.00770896,,,,,,,,,,,
19050,0.0119018,,,,,,,,,,,
19100,-0.0845556,,,,,,,,,,,
19150,-0.0803359,,,,,,,,,,,
19200,-0.148403,,,,,,,,,,,
19250,-0.112931,,,,,,,,,,,
19300,0.0127752,,,,,,,,,,,
19350,-0.119702,,,,,,,,,,,
19400,-0.0479346,,,,,,,,,,,
19450,-0.0298232,,,,,,,,,,,
19500,-0.048858,,,,,,,,,,,
19550,-0.167985,,,,,,,,,,,
19600,-0.0873706,,,,,,,,,,,
19650,-0.15377,,,,,,,,,,,
19700,-0.225006,,,,,,,,,,,
19750,-0.199487,,,,,,,,,,,
19800,-0.193183,,,,,,,,,,,
19850,-0.254482,,,,,,,,,,,
19900,-0.254405,,,,,,,,,,,
19950,-0.189238,,,,,,,,,,,
20000,-0.145896,,,,,,,,,,,
20050,-0.144862,,,,,,,,,,,
20100,-0.146996,,,,,,,,,,,
20150,-0.213837,,,,,,,,,,,
20200,-0.305602,,,,,,,,,,,
20250,-0.242347,,,,,,,,,,,
20300,-0.290897,,,,,,,,,,,
20350,-0.359175,,,,,,,,,,,
20400,-0.169916,,,,,,,,,,,
20450,-0.0923895,,,,,,,,,,,
20500,-0.117428,,,,,,,,,,,
20550,-0.118263,,,,,,,,,,,
20600,-0.130399,,,,,,,,,,,
20650,-0.150094,,,,,,,,,,,
20700,-0.0605402,,,,,,,,,,,
20750,-0.144002,,,,,,,,,,,
20800,-0.175116,,,,,,,,,,,
20850,-0.172611,,,,,,,,,,,
20900,-0.136404,,,,,,,,,,,
20950,-0.100961,,,,,,,,,,,
21000,-0.106806,,,,,,,,,,,
21050,-0.0546063,,,,,,,,,,,
21100,-0.0310718,,,,,,,,,,,
21150,0.0303182,,,,,,,,,,,
21200,-0.0586413,,,,,,,,,,,
21250,0.0582011,,,,,,,,,,,
21300,0.0282972,,,,,,,,,,,
21350,-0.00141839,,,,,,,,,,,
21400,0.00302157,,,,,,,,,,,
21450,0.0388089,,,,,,,,,,,
21500,0.0414448,,,,,,,,,,,
21550,0.0833446,,,,,,,,,,,
21600,-0.0250621,,,,,,,,,,,
21650,-0.0857196,,,,,,,,,,,
21700,-0.19753,,,,,,,,,,,
21750,-0.253624,,,,,,,,,,,
21800,-0.268331,,,,,,,,,,,
21850,-0.323011,,,,,,,,,,,
21900,-0.314876,,,,,,,,,,,
21950,-0.345998,,,,,,,,,,,
22000,-0.197524,,,,,,,,,,,
22050,-0.201939,,,,,,,,,,,
22100,-0.112141,,,,,,,,,,,
22150,-0.220249,,,,,,,,,,,
22200,-0.219215,,,,,,,,,,,
22250,-0.111373,,,,,,,,,,,
22300,-0.0929053,,,,,,,,,,,
22350,-0.146673,,,,,,,,,,,
22400,-0.2044,,,,,,,,,,,
22450,-0.171854,,,,,,,,,,,
22500,-0.142391,,,,,,,,,,,
22550,-0.318149,,,,,,,,,,,
22600,-0.404262,,,,,,,,,,,
22650,-0.372106,,,,,,,,,,,
22700,-0.286804,,,,,,,,,,,
22750,-0.343232,,,,,,,,,,,
22800,-0.362634,,,,,,,,,,,
22850,-0.413364,,,,,,,,,,,
22900,-0.361321,,,,,,,,,,,
22950,-0.36518,,,,,,,,,,,
23000,-0.352865,,,,,,,,,,,
23050,-0.365759,,,,,,,,,,,
23100,-0.316101,,,,,,,,,,,
23150,-0.291522,,,,,,,,,,,
23200,-0.171129,,,,,,,,,,,
23250,-0.275936,,,,,,,,,,,
23300,-0.296846,,,,,,,,,,,
23350,-0.222266,,,,,,,,,,,
23400,-0.205406,,,,,,,,,,,
23450,-0.125812,,,,,,,,,,,
23500,-0.227634,,,,,,,,,,,
23550,-0.290673,,,,,,,,,,,
23600,-0.204664,,,,,,,,,,,
23650,-0.100462,,,,,,,,,,,
23700,-0.0463104,,,,,,,,,,,
23750,0.0136952,,,,,,,,,,,
23800,-0.0730166,,,,,,,,,,,
23850,-0.110862,,,,,,,,,,,
23900,-0.0825169,,,,,,,,,,,
23950,-0.0910663,,,,,,,,,,,
24000,-0.0647002,,,,,,,,,,,
24050,-0.023716,,,,,,,,,,,
24100,-0.016727,,,,,,,,,,,
24150,-0.0554154,,,,,,,,,,,
24200,0.030328,,,,,,,,,,,
24250,-0.0480973,,,,,,,,,,,
24300,0.0340884,,,,,,,,,,,
24350,-0.0172496,,,,,,,,,,,
24400,-0.0735664,,,,,,,,,,,
24450,-0.100166,,,,,,,,,,,
24500,-0.25319,,,,,,,,,,,
24550,-0.263587,,,,,,,,,,,
24600,-0.224645,,,,,,,,,,,
24650,-0.166369,,,,,,,,,,,
24700,-0.160801,,,,,,,,,,,
24750,-0.125998,,,,,,,,,,,
24800,-0.310001,,,,,,,,,,,
24850,-0.309908,,,,,,,,,,,
24900,-0.306661,,,,,,,,,,,
24950,-0.393523,,,,,,,,,,,
25000,-0.439278,,,,,,,,,,,
25050,-0.471998,,,,,,,,,,,
25100,-0.370874,,,,,,,,,,,
25150,-0.401546,,,,,,,,,,,
25200,-0.368019,,,,,,,,,,,
25250,-0.358562,,,,,,,,,,,
25300,-0.353417,,,,,,,,,,,
25350,-0.368076,,,,,,,,,,,
25400,-0.305994,,,,,,,,,,,
25450,-0.400729,,,,,,,,,,,
25500,-0.421365,,,,,,,,,,,
25550,-0.464871,,,,,,,,,,,
25600,-0.366132,,,,,,,,,,,
25650,-0.346275,,,,,,,,,,,
25700,-0.388943,,,,,,,,,,,
25750,-0.295046,,,,,,,,,,,
25800,-0.259647,,,,,,,,,,,
25850,-0.212198,,,,,,,,,,,
25900,-0.22025,,,,,,,,,,,
25950,-0.269638,,,,,,,,,,,
26000,-0.235122,,,,,,,,,,,
26050,-0.214268,,,,,,,,,,,
26100,-0.230368,,,,,,,,,,,
26150,-0.118556,,,,,,,,,,,
26200,-0.1691,,,,,,,,,,,
26250,-0.0643346,,,,,,,,,,,
26300,-0.101557,,,,,,,,,,,
26350,-0.0462045,,,,,,,,,,,
26400,-0.062496,,,,,,,,,,,
26450,-0.154083,,,,,,,,,,,
26500,-0.128918,,,,,,,,,,,
26550,-0.163886,,,,,,,,,,,
26600,-0.150139,,,,,,,,,,,
26650,-0.110734,,,,,,,,,,,
26700,-0.1328,,,,,,,,,,,
26750,-0.175234,,,,,,,,,,,
26800,-0.169677,,,,,,,,,,,
26850,-0.215379,,,,,,,,,,,
26900,-0.234379,,,,,,,,,,,
26950,-0.187693,,,,,,,,,,,
27000,-0.146217,,,,,,,,,,,
27050,-0.164839,,,,,,,,,,,
27100,-0.0442411,,,,,,,,,,,
27150,-0.119188,,,,,,,,,,,
27200,-0.15162,,,,,,,,,,,
27250,-0.122223,,,,,,,,,,,
27300,-0.106599,,,,,,,,,,,
27350,-0.0608246,,,,,,,,,,,
27400,0.0265045,,,,,,,,,,,
27450,-0.00844858,,,,,,,,,,,
27500,-0.00633603,,,,,,,,,,,
27550,-0.0107769,,,,,,,,,,,
27600,-0.035619,,,,,,,,,,,
27650,-0.055826,,,,,,,,,,,
27700,-0.131383,,,,,,,,,,,
27750,-0.192909,,,,,,,,,,,
27800,-0.083011,,,,,,,,,,,
27850,-0.0813165,,,,,,,,,,,
27900,-0.171275,,,,,,,,,,,
27950,-0.187209,,,,,,,,,,,
28000,-0.253925,,,,,,,,,,,
28050,-0.244164,,,,,,,,,,,
28100,-0.284465,,,,,,,,,,,
28150,-0.256355,,,,,,,,,,,
28200,-0.272103,,,,,,,,,,,
28250,-0.221533,,,,,,,,,,,
28300,-0.158724,,,,,,,,,,,
28350,-0.141232,,,,,,,,,,,
28400,-0.217914,,,,,,,,,,,
28450,-0.328612,,,,,,,,,,,
28500,-0.290033,,,,,,,,,,,
28550,-0.346681,,,,,,,,,,,
28600,-0.281094,,,,,,,,,,,
28650,-0.363041,,,,,,,,,,,
