G,zS0,zS1,zS2,zS3,zS4,zS5,zS6,zS7,zS8,zS9,zS10,zS11
28100,1.76475,,,,,,,,,,,
28150,1.80335,,,,,,,,,,,
28200,1.81853,,,,,,,,,,,
28250,1.91003,,,,,,,,,,,
28300,1.94608,,,,,,,,,,,
28350,1.83593,,,,,,,,,,,
28400,1.92136,,,,,,,,,,,
28450,1.92335,,,,,,,,,,,
28500,2.04853,,,,,,,,,,,
28550,2.0574,,,,,,,,,,,
28600,2.01352,,,,,,,,,,,
28650,2.08759,,,,,,,,,,,
28700,2.11613,,,,,,,,,,,
28750,2.01813,,,,,,,,,,,
28800,2.02619,,,,,,,,,,,
28850,2.14714,,,,,,,,,,,
28900,2.18388,,,,,,,,,,,
28950,2.24424,,,,,,,,,,,
29000,2.19555,,,,,,,,,,,
29050,2.24642,,,,,,,,,,,
29100,2.19458,,,,,,,,,,,
29150,2.10639,,,,,,,,,,,
29200,2.1149,,,,,,,,,,,
29250,2.15475,,,,,,,,,,,
29300,2.23959,,,,,,,,,,,
29350,2.26352,,,,,,,,,,,
29400,2.26461,,,,,,,,,,,
29450,2.21457,,,,,,,,,,,
29500,2.26597,,,,,,,,,,,
29550,2.46189,,,,,,,,,,,
29600,2.50049,,,,,,,,,,,
29650,2.40952,,,,,,,,,,,
29700,2.42722,,,,,,,,,,,
29750,2.42776,,,,,,,,,,,
29800,2.40223,,,,,,,,,,,
29850,2.38583,,,,,,,,,,,
29900,2.43612,,,,,,,,,,,
29950,2.48372,,,,,,,,,,,
30000,2.37239,,,,,,,,,,,
30050,2.33706,,,,,,,,,,,
30100,2.25644,,,,,,,,,,,
30150,2.20606,,,,,,,,,,,
30200,2.26641,,,,,,,,,,,
30250,2.24393,,,,,,,,,,,
30300,2.26661,,,,,,,,,,,
30350,2.20411,,,,,,,,,,,
30400,2.27672,,,,,,,,,,,
30450,2.27125,,,,,,,,,,,
30500,2.26031,,,,,,,,,,,
30550,2.33158,,,,,,,,,,,
30600,2.3864,,,,,,,,,,,
30650,2.36242,,,,,,,,,,,
30700,2.41414,,,,,,,,,,,
30750,2.38945,,,,,,,,,,,
30800,2.44167,,,,,,,,,,,
30850,2.51947,,,,,,,,,,,
30900,2.42841,,,,,,,,,,,
30950,2.37859,,,,,,,,,,,
31000,2.43228,,,,,,,,,,,
31050,2.4527,,,,,,,,,,,
31100,2.45229,,,,,,,,,,,
31150,2.41853,,,,,,,,,,,
31200,2.45024,,,,,,,,,,,
31250,2.29782,,,,,,,,,,,
31300,2.28182,,,,,,,,,,,
31350,2.27265,,,,,,,,,,,
31400,2.22144,,,,,,,,,,,
31450,2.211,,,,,,,,,,,
31500,2.31037,,,,,,,,,,,
31550,2.26552,,,,,,,,,,,
31600,2.20811,,,,,,,,,,,
31650,2.21944,,,,,,,,,,,
31700,2.20689,,,,,,,,,,,
31750,2.34716,,,,,,,,,,,
31800,2.29068,,,,,,,,,,,
31850,2.1952,,,,,,,,,,,
31900,2.1031,,,,,,,,,,,
31950,2.13119,,,,,,,,,,,
32000,2.26189,,,,,,,,,,,
32050,2.16745,,,,,,,,,,,
32100,2.04957,,,,,,,,,,,
32150,2.15959,,,,,,,,,,,
32200,1.95959,,,,,,,,,,,
32250,1.9281,,,,,,,,,,,
32300,1.95112,,,,,,,,,,,
32350,1.95523,,,,,,,,,,,
32400,2.00391,,,,,,,,,,,
32450,1.94693,,,,,,,,,,,
32500,2.03313,,,,,,,,,,,
32550,2.04354,,,,,,,,,,,
32600,2.00875,,,,,,,,,,,
32650,2.06872,,,,,,,,,,,
32700,2.1954,,,,,,,,,,,
32750,2.14015,,,,,,,,,,,
32800,2.01203,,,,,,,,,,,
32850,2.04695,,,,,,,,,,,
32900,2.2013,,,,,,,,,,,
32950,2.21613,,,,,,,,,,,
33000,2.29089,,,,,,,,,,,
33050,2.4589,,,,,,,,,,,
33100,2.58779,,,,,,,,,,,
33150,2.7482,,,,,,,,,,,
33200,2.78994,,,,,,,,,,,
33250,2.73353,,,,,,,,,,,
33300,2.66396,,,,,,,,,,,
33350,2.67079,,,,,,,,,,,
33400,2.72971,,,,,,,,,,,
33450,2.79371,,,,,,,,,,,
33500,2.77603,,,,,,,,,,,
33550,2.90982,,,,,,,,,,,
33600,2.90224,,,,,,,,,,,
33650,2.915,,,,,,,,,,,
33700,2.87586,,,,,,,,,,,
33750,2.86769,,,,,,,,,,,
33800,2.89251,,,,,,,,,,,
33850,2.89875,,,,,,,,,,,
33900,2.9003,,,,,,,,,,,
33950,2.91327,,,,,,,,,,,
34000,2.99868,,,,,,,,,,,
34050,3.01122,,,,,,,,,,,
34100,2.99462,,,,,,,,,,,
34150,2.98149,,,,,,,,,,,
34200,2.99686,,,,,,,,,,,
34250,3.01741,,,,,,,,,,,
34300,2.9354,,,,,,,,,,,
34350,2.85994,,,,,,,,,,,
34400,2.91908,,,,,,,,,,,
34450,2.90917,,,,,,,,,,,
34500,2.82935,,,,,,,,,,,
34550,2.84538,,,,,,,,,,,
34600,2.86352,,,,,,,,,,,
34650,2.8735,,,,,,,,,,,
34700,2.821,,,,,,,,,,,
34750,2.93885,,,,,,,,,,,
34800,2.93005,,,,,,,,,,,
34850,2.88719,,,,,,,,,,,
34900,2.86222,,,,,,,,,,,
34950,2.78525,,,,,,,,,,,
35000,2.84135,,,,,,,,,,,
35050,2.83737,,,,,,,,,,,
35100,2.78881,,,,,,,,,,,
35150,2.7719,,,,,,,,,,,
35200,2.67483,,,,,,,,,,,
35250,2.57056,,,,,,,,,,,
35300,2.51041,,,,,,,,,,,
35350,2.53482,,,,,,,,,,,
35400,2.48966,,,,,,,,,,,
35450,2.49816,,,,,,,,,,,
35500,2.51929,,,,,,,,,,,
35550,2.54632,,,,,,,,,,,
35600,2.60688,,,,,,,,,,,
35650,2.56971,,,,,,,,,,,
35700,2.57862,,,,,,,,,,,
35750,2.55319,,,,,,,,,,,
35800,2.55743,,,,,,,,,,,
35850,2.53316,,,,,,,,,,,
35900,2.52307,,,,,,,,,,,
35950,2.37624,,,,,,,,,,,
36000,2.4694,,,,,,,,,,,
36050,2.6349,,,,,,,,,,,
36100,2.52767,,,,,,,,,,,
36150,2.60676,,,,,,,,,,,
36200,2.64587,,,,,,,,,,,
36250,2.627,,,,,,,,,,,
36300,2.64148,,,,,,,,,,,
