G,zS0,zS1,zS2,zS3,zS4,zS5,zS6,zS7,zS8,zS9,zS10,zS11
14450,0.51801,,,,,,,,,,,
14500,0.514509,,,,,,,,,,,
14550,0.569476,,,,,,,,,,,
14600,0.568054,,,,,,,,,,,
14650,0.598803,,,,,,,,,,,
14700,0.547449,,,,,,,,,,,
14750,0.639796,,,,,,,,,,,
14800,0.783954,,,,,,,,,,,
14850,0.766847,,,,,,,,,,,
14900,0.828734,,,,,,,,,,,
14950,0.829176,,,,,,,,,,,
15000,0.862825,,,,,,,,,,,
15050,0.885942,,,,,,,,,,,
15100,0.801256,,,,,,,,,,,
15150,0.691301,,,,,,,,,,,
15200,0.608718,,,,,,,,,,,
15250,0.615361,,,,,,,,,,,
15300,0.525691,,,,,,,,,,,
15350,0.610807,,,,,,,,,,,
15400,0.726665,,,,,,,,,,,
15450,0.722218,,,,,,,,,,,
15500,0.553008,,,,,,,,,,,
15550,0.682913,,,,,,,,,,,
15600,0.676112,,,,,,,,,,,
15650,0.829685,,,,,,,,,,,
15700,0.824824,,,,,,,,,,,
15750,0.90882,,,,,,,,,,,
15800,1.00257,,,,,,,,,,,
15850,1.03612,,,,,,,,,,,
15900,1.05725,,,,,,,,,,,
15950,1.07151,,,,,,,,,,,
16000,1.06657,,,,,,,,,,,
16050,1.13596,,,,,,,,,,,
16100,1.14293,,,,,,,,,,,
16150,1.14149,,,,,,,,,,,
16200,1.14894,,,,,,,,,,,
16250,1.19413,,,,,,,,,,,
16300,1.23649,,,,,,,,,,,
16350,1.34599,,,,,,,,,,,
16400,1.3862,,,,,,,,,,,
16450,1.43072,,,,,,,,,,,
16500,1.47753,,,,,,,,,,,
16550,1.42592,,,,,,,,,,,
16600,1.39802,,,,,,,,,,,
16650,1.44641,,,,,,,,,,,
16700,1.23227,,,,,,,,,,,
16750,1.22166,,,,,,,,,,,
16800,1.15672,,,,,,,,,,,
16850,1.28837,,,,,,,,,,,
16900,1.31797,,,,,,,,,,,
16950,1.34679,,,,,,,,,,,
17000,1.38417,,,,,,,,,,,
17050,1.36962,,,,,,,,,,,
17100,1.42991,,,,,,,,,,,
17150,1.47856,,,,,,,,,,,
17200,1.57507,,,,,,,,,,,
17250,1.68416,,,,,,,,,,,
17300,1.58754,,,,,,,,,,,
17350,1.724,,,,,,,,,,,
17400,1.72209,,,,,,,,,,,
17450,1.63813,,,,,,,,,,,
17500,1.6671,,,,,,,,,,,
17550,1.65993,,,,,,,,,,,
17600,1.63747,,,,,,,,,,,
17650,1.61181,,,,,,,,,,,
17700,1.68611,,,,,,,,,,,
17750,1.58647,,,,,,,,,,,
17800,1.62263,,,,,,,,,,,
17850,1.4458,,,,,,,,,,,
17900,1.3165,,,,,,,,,,,
17950,1.33693,,,,,,,,,,,
18000,1.3647,,,,,,,,,,,
18050,1.46592,,,,,,,,,,,
18100,1.35617,,,,,,,,,,,
18150,1.44591,,,,,,,,,,,
18200,1.39843,,,,,,,,,,,
18250,1.32824,,,,,,,,,,,
18300,1.353,,,,,,,,,,,
18350,1.37651,,,,,,,,,,,
18400,1.4569,,,,,,,,,,,
18450,1.49194,,,,,,,,,,,
18500,1.55768,,,,,,,,,,,
18550,1.51054,,,,,,,,,,,
18600,1.54328,,,,,,,,,,,
18650,1.4313,,,,,,,,,,,
18700,1.49009,,,,,,,,,,,
18750,1.49692,,,,,,,,,,,
18800,1.45407,,,,,,,,,,,
18850,1.37645,,,,,,,,,,,
18900,1.35194,,,,,,,,,,,
18950,1.30556,,,,,,,,,,,
19000,1.31375,,,,,,,,,,,
19050,1.23856,,,,,,,,,,,
19100,1.24855,,,,,,,,,,,
19150,1.22934,,,,,,,,,,,
19200,1.25236,,,,,,,,,,,
19250,1.14531,,,,,,,,,,,
19300,1.15953,,,,,,,,,,,
19350,1.15998,,,,,,,,,,,
19400,1.22237,,,,,,,,,,,
19450,1.23632,,,,,,,,,,,
19500,1.23181,,,,,,,,,,,
19550,1.20413,,,,,,,,,,,
19600,1.12185,,,,,,,,,,,
19650,1.143,,,,,,,,,,,
19700,1.14582,,,,,,,,,,,
19750,1.12814,,,,,,,,,,,
19800,1.1333,,,,,,,,,,,
19850,1.15797,,,,,,,,,,,
19900,1.10951,,,,,,,,,,,
19950,1.12636,,,,,,,,,,,
20000,1.2086,,,,,,,,,,,
20050,1.25877,,,,,,,,,,,
20100,1.25754,,,,,,,,,,,
20150,1.19082,,,,,,,,,,,
20200,1.22688,,,,,,,,,,,
20250,1.2423,,,,,,,,,,,
20300,1.20417,,,,,,,,,,,
20350,1.30621,,,,,,,,,,,
20400,1.19269,,,,,,,,,,,
20450,1.21117,,,,,,,,,,,
20500,1.2763,,,,,,,,,,,
20550,1.29367,,,,,,,,,,,
20600,1.2763,,,,,,,,,,,
20650,1.32657,,,,,,,,,,,
20700,1.3588,,,,,,,,,,,
20750,1.34892,,,,,,,,,,,
20800,1.26243,,,,,,,,,,,
20850,1.18835,,,,,,,,,,,
20900,1.13025,,,,,,,,,,,
20950,1.26082,,,,,,,,,,,
21000,1.33835,,,,,,,,,,,
21050,1.29099,,,,,,,,,,,
21100,1.35956,,,,,,,,,,,
21150,1.39012,,,,,,,,,,,
21200,1.40348,,,,,,,,,,,
21250,1.36418,,,,,,,,,,,
21300,1.4576,,,,,,,,,,,
21350,1.54475,,,,,,,,,,,
21400,1.55091,,,,,,,,,,,
21450,1.5063,,,,,,,,,,,
21500,1.61216,,,,,,,,,,,
21550,1.61387,,,,,,,,,,,
21600,1.57828,,,,,,,,,,,
21650,1.50415,,,,,,,,,,,
21700,1.54949,,,,,,,,,,,
21750,1.47296,,,,,,,,,,,
21800,1.47095,,,,,,,,,,,
21850,1.41994,,,,,,,,,,,
21900,1.49258,,,,,,,,,,,
21950,1.44294,,,,,,,,,,,
22000,1.43774,,,,,,,,,,,
22050,1.45123,,,,,,,,,,,
22100,1.48537,,,,,,,,,,,
22150,1.47531,,,,,,,,,,,
22200,1.47601,,,,,,,,,,,
22250,1.57555,,,,,,,,,,,
22300,1.44763,,,,,,,,,,,
22350,1.31788,,,,,,,,,,,
22400,1.42022,,,,,,,,,,,
22450,1.35085,,,,,,,,,,,
22500,1.37651,,,,,,,,,,,
22550,1.3853,,,,,,,,,,,
22600,1.31129,,,,,,,,,,,
22650,1.21305,,,,,,,,,,,
22700,1.18063,,,,,,,,,,,
22750,1.11938,,,,,,,,,,,
22800,1.22715,,,,,,,,,,,
22850,1.20467,,,,,,,,,,,
22900,1.24419,,,,,,,,,,,
22950,1.19914,,,,,,,,,,,
23000,1.08473,,,,,,,,,,,
23050,1.11267,,,,,,,,,,,
23100,1.0243,,,,,,,,,,,
23150,1.08486,,,,,,,,,,,
23200,1.05402,,,,,,,,,,,
23250,1.03927,,,,,,,,,,,
23300,0.996253,,,,,,,,,,,
23350,0.979311,,,,,,,,,,,
23400,1.05528,,,,,,,,,,,
23450,1.07651,,,,,,,,,,,
23500,1.0799,,,,,,,,,,,
23550,1.1088,,,,,,,,,,,
23600,1.08014,,,,,,,,,,,
23650,1.16999,,,,,,,,,,,
23700,1.14424,,,,,,,,,,,
23750,1.17341,,,,,,,,,,,
23800,1.26299,,,,,,,,,,,
23850,1.20562,,,,,,,,,,,
23900,1.1081,,,,,,,,,,,
23950,1.12324,,,,,,,,,,,
24000,1.11512,,,,,,,,,,,
24050,1.19047,,,,,,,,,,,
24100,1.12395,,,,,,,,,,,
24150,1.20441,,,,,,,,,,,
24200,1.18297,,,,,,,,,,,
24250,1.1379,,,,,,,,,,,
24300,1.18481,,,,,,,,,,,
24350,1.28027,,,,,,,,,,,
24400,1.32106,,,,,,,,,,,
24450,1.14959,,,,,,,,,,,
24500,1.05505,,,,,,,,,,,
24550,1.0338,,,,,,,,,,,
24600,1.05071,,,,,,,,,,,
24650,1.04573,,,,,,,,,,,
24700,0.941883,,,,,,,,,,,
