G,zS0,zS1,zS2,zS3,zS4,zS5,zS6,zS7,zS8,zS9,zS10,zS11
11550,-0.932348,,,,,,,,,,,
11600,-0.919464,,,,,,,,,,,
11650,-0.830173,,,,,,,,,,,
11700,-0.89282,,,,,,,,,,,
11750,-0.759229,,,,,,,,,,,
11800,-0.786913,,,,,,,,,,,
11850,-0.795839,,,,,,,,,,,
11900,-0.795049,,,,,,,,,,,
11950,-0.841555,,,,,,,,,,,
12000,-0.809193,,,,,,,,,,,
12050,-0.76994,,,,,,,,,,,
12100,-0.758472,,,,,,,,,,,
12150,-0.606903,,,,,,,,,,,
12200,-0.566844,,,,,,,,,,,
12250,-0.662428,,,,,,,,,,,
12300,-0.662497,,,,,,,,,,,
12350,-0.730951,,,,,,,,,,,
12400,-0.772862,,,,,,,,,,,
12450,-0.884551,,,,,,,,,,,
12500,-0.916467,,,,,,,,,,,
12550,-0.953491,,,,,,,,,,,
12600,-1.0656,,,,,,,,,,,
12650,-1.04695,,,,,,,,,,,
12700,-1.09267,,,,,,,,,,,
12750,-1.13651,,,,,,,,,,,
12800,-1.11796,,,,,,,,,,,
12850,-1.1108,,,,,,,,,,,
12900,-1.19334,,,,,,,,,,,
12950,-1.17391,,,,,,,,,,,
13000,-1.10292,,,,,,,,,,,
13050,-1.17275,,,,,,,,,,,
13100,-1.15575,,,,,,,,,,,
13150,-1.26317,,,,,,,,,,,
13200,-1.22858,,,,,,,,,,,
13250,-1.38605,,,,,,,,,,,
13300,-1.33509,,,,,,,,,,,
13350,-1.2018,,,,,,,,,,,
13400,-1.27525,,,,,,,,,,,
13450,-1.34244,,,,,,,,,,,
13500,-1.2437,,,,,,,,,,,
13550,-1.11197,,,,,,,,,,,
13600,-1.13095,,,,,,,,,,,
13650,-1.02244,,,,,,,,,,,
13700,-1.07795,,,,,,,,,,,
13750,-1.02803,,,,,,,,,,,
13800,-1.02333,,,,,,,,,,,
13850,-1.00864,,,,,,,,,,,
13900,-0.932726,,,,,,,,,,,
13950,-0.895114,,,,,,,,,,,
14000,-0.854385,,,,,,,,,,,
14050,-0.652924,,,,,,,,,,,
14100,-0.659922,,,,,,,,,,,
14150,-0.666645,,,,,,,,,,,
14200,-0.649855,,,,,,,,,,,
14250,-0.633327,,,,,,,,,,,
14300,-0.652366,,,,,,,,,,,
14350,-0.615051,,,,,,,,,,,
14400,-0.611679,,,,,,,,,,,
14450,-0.717635,,,,,,,,,,,
14500,-0.675346,,,,,,,,,,,
14550,-0.448588,,,,,,,,,,,
14600,-0.439547,,,,,,,,,,,
14650,-0.386979,,,,,,,,,,,
14700,-0.345088,,,,,,,,,,,
14750,-0.375416,,,,,,,,,,,
14800,-0.308085,,,,,,,,,,,
14850,-0.31053,,,,,,,,,,,
14900,-0.200717,,,,,,,,,,,
14950,-0.216786,,,,,,,,,,,
15000,-0.23965,,,,,,,,,,,
15050,-0.291821,,,,,,,,,,,
15100,-0.344515,,,,,,,,,,,
15150,-0.352515,,,,,,,,,,,
15200,-0.331939,,,,,,,,,,,
15250,-0.254987,,,,,,,,,,,
15300,-0.0538102,,,,,,,,,,,
15350,-0.110133,,,,,,,,,,,
15400,-0.203177,,,,,,,,,,,
15450,-0.330271,,,,,,,,,,,
15500,-0.463804,,,,,,,,,,,
15550,-0.52862,,,,,,,,,,,
15600,-0.477036,,,,,,,,,,,
15650,-0.518335,,,,,,,,,,,
15700,-0.592347,,,,,,,,,,,
15750,-0.536729,,,,,,,,,,,
15800,-0.645726,,,,,,,,,,,
15850,-0.722384,,,,,,,,,,,
15900,-0.68758,,,,,,,,,,,
15950,-0.668055,,,,,,,,,,,
16000,-0.712598,,,,,,,,,,,
16050,-0.673472,,,,,,,,,,,
16100,-0.595317,,,,,,,,,,,
16150,-0.728507,,,,,,,,,,,
16200,-0.65848,,,,,,,,,,,
16250,-0.564632,,,,,,,,,,,
16300,-0.594314,,,,,,,,,,,
16350,-0.592341,,,,,,,,,,,
16400,-0.393565,,,,,,,,,,,
16450,-0.442316,,,,,,,,,,,
16500,-0.40753,,,,,,,,,,,
16550,-0.420901,,,,,,,,,,,
16600,-0.429566,,,,,,,,,,,
16650,-0.42671,,,,,,,,,,,
16700,-0.388218,,,,,,,,,,,
16750,-0.301966,,,,,,,,,,,
16800,-0.220348,,,,,,,,,,,
16850,-0.214351,,,,,,,,,,,
16900,-0.311934,,,,,,,,,,,
16950,-0.353848,,,,,,,,,,,
17000,-0.417748,,,,,,,,,,,
17050,-0.322704,,,,,,,,,,,
17100,-0.362883,,,,,,,,,,,
17150,-0.433395,,,,,,,,,,,
17200,-0.299407,,,,,,,,,,,
17250,-0.27933,,,,,,,,,,,
17300,-0.181929,,,,,,,,,,,
17350,-0.224387,,,,,,,,,,,
17400,-0.201206,,,,,,,,,,,
17450,-0.233187,,,,,,,,,,,
17500,-0.218233,,,,,,,,,,,
17550,-0.288902,,,,,,,,,,,
17600,-0.326641,,,,,,,,,,,
17650,-0.352027,,,,,,,,,,,
17700,-0.279421,,,,,,,,,,,
17750,-0.35748,,,,,,,,,,,
17800,-0.557351,,,,,,,,,,,
17850,-0.540488,,,,,,,,,,,
17900,-0.490475,,,,,,,,,,,
17950,-0.615329,,,,,,,,,,,
18000,-0.491993,,,,,,,,,,,
18050,-0.567218,,,,,,,,,,,
18100,-0.629511,,,,,,,,,,,
18150,-0.483656,,,,,,,,,,,
18200,-0.451301,,,,,,,,,,,
18250,-0.362933,,,,,,,,,,,
18300,-0.255448,,,,,,,,,,,
18350,-0.216858,,,,,,,,,,,
18400,-0.337353,,,,,,,,,,,
18450,-0.275782,,,,,,,,,,,
18500,-0.349444,,,,,,,,,,,
18550,-0.210353,,,,,,,,,,,
18600,-0.330336,,,,,,,,,,,
18650,-0.407171,,,,,,,,,,,
18700,-0.346862,,,,,,,,,,,
18750,-0.451456,,,,,,,,,,,
18800,-0.480475,,,,,,,,,,,
18850,-0.546112,,,,,,,,,,,
18900,-0.444397,,,,,,,,,,,
18950,-0.392003,,,,,,,,,,,
19000,-0.360219,,,,,,,,,,,
19050,-0.395184,,,,,,,,,,,
19100,-0.55375,,,,,,,,,,,
19150,-0.537944,,,,,,,,,,,
19200,-0.499465,,,,,,,,,,,
19250,-0.552638,,,,,,,,,,,
19300,-0.471166,,,,,,,,,,,
19350,-0.366867,,,,,,,,,,,
19400,-0.282872,,,,,,,,,,,
19450,-0.341444,,,,,,,,,,,
19500,-0.412643,,,,,,,,,,,
19550,-0.521,,,,,,,,,,,
19600,-0.489095,,,,,,,,,,,
19650,-0.344778,,,,,,,,,,,
19700,-0.245529,,,,,,,,,,,
19750,-0.238728,,,,,,,,,,,
19800,-0.249364,,,,,,,,,,,
19850,-0.198998,,,,,,,,,,,
19900,-0.210892,,,,,,,,,,,
19950,-0.0927578,,,,,,,,,,,
20000,-0.105901,,,,,,,,,,,
20050,-0.0191583,,,,,,,,,,,
20100,-0.0338702,,,,,,,,,,,
20150,-0.0343793,,,,,,,,,,,
20200,-0.054986,,,,,,,,,,,
20250,0.0442394,,,,,,,,,,,
20300,-0.000608408,,,,,,,,,,,
20350,0.013496,,,,,,,,,,,
20400,0.0487081,,,,,,,,,,,
20450,0.00260454,,,,,,,,,,,
20500,-0.096183,,,,,,,,,,,
20550,-0.175859,,,,,,,,,,,
20600,-0.177816,,,,,,,,,,,
20650,-0.182187,,,,,,,,,,,
20700,-0.214373,,,,,,,,,,,
20750,-0.280501,,,,,,,,,,,
20800,-0.204806,,,,,,,,,,,
20850,-0.341238,,,,,,,,,,,
20900,-0.437945,,,,,,,,,,,
20950,-0.367801,,,,,,,,,,,
21000,-0.398071,,,,,,,,,,,
21050,-0.415831,,,,,,,,,,,
21100,-0.46092,,,,,,,,,,,
21150,-0.463474,,,,,,,,,,,
21200,-0.383129,,,,,,,,,,,
21250,-0.291674,,,,,,,,,,,
21300,-0.331892,,,,,,,,,,,
21350,-0.394482,,,,,,,,,,,
21400,-0.397968,,,,,,,,,,,
21450,-0.362842,,,,,,,,,,,
21500,-0.33568,,,,,,,,,,,
21550,-0.373371,,,,,,,,,,,
21600,-0.296088,,,,,,,,,,,
21650,-0.386056,,,,,,,,,,,
21700,-0.421672,,,,,,,,,,,
21750,-0.400315,,,,,,,,,,,
21800,-0.37785,,,,,,,,,,,
21850,-0.264819,,,,,,,,,,,
21900,-0.199943,,,,,,,,,,,
21950,-0.061111,,,,,,,,,,,
22000,0.0244072,,,,,,,,,,,
22050,-0.0767701,,,,,,,,,,,
